school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score
Horace Mann Elementary School,ES,41.74830012,-87.57485274,92.6,28.0,44.4,,,,
Horatio May Elementary Community Academy,ES,41.87358321,-87.74931216,91.9,42.0,40.0,,,,
Hyde Park Academy High School,HS,41.78223539,-87.58665115,70.5,29.0,18.5,,,,
Hyman G Rickover Naval Academy High School,HS,41.98905063,-87.66526222,92.9,64.0,15.4,,,,
Ida B Wells Preparatory Elementary Academy,ES,41.82390751,-87.61978794,93.2,49.0,9.5,,,,
Ignance Paderewski Elementary Learning Academy,ES,41.85094816,-87.71726618,92.1,31.0,20.9,,,,
Infinity Math Science and Technology High School,HS,41.83601953,-87.73419465,92.2,58.0,7.5,,,,
Inter-American Elementary Magnet School,ES,41.94897646,-87.65153745,96.2,67.0,3.0,,,,
Ira F Aldridge Elementary School,ES,41.65743243,-87.60649623,92.9,39.0,49.0,,,,
Irene C. Hernandez Middle School for the Advancement of Science,MS,41.79350627,-87.71139803,95.5,34.0,14.8,,,,
Irma C Ruiz Elementary School,ES,41.84809742,-87.68078114,95.5,57.0,15.9,,,,
Irvin C Mollison Elementary School,ES,41.81434006,-87.61658079,91.1,44.0,36.1,,,,
Isabelle C O'Keeffe Elementary School,ES,41.76861557,-87.57284299,92.1,17.0,24.6,,,,
Jackie Robinson Elementary School,ES,41.81735839,-87.59903174,90.5,,47.9,,,,
Jacob Beidler Elementary School,ES,41.88529401,-87.70581859,95.4,63.0,0.7,,,,
Jacqueline B Vaughn Occupational High School,HS,41.96035141,-87.76462602,87.6,57.0,3.7,,,,
James B Farnsworth Elementary School,ES,41.9798092,-87.76610809,94.2,55.0,1.7,,,,
James B McPherson Elementary School,ES,41.96784758,-87.67632505,96.5,71.0,1.2,,,,
James E McDade Elementary Classical School,ES,41.73451387,-87.61917677,96.2,99.0,0.0,,,,
James G Blaine Elementary School,ES,41.95080812,-87.66495825,96.4,99.0,2.1,,,,
James Hedges Elementary School,ES,41.80713406,-87.67329121,95.4,22.0,48.8,,,,
James Madison Elementary School,ES,41.75955224,-87.59067582,94.9,39.0,12.4,,,,
James Monroe Elementary School,ES,41.92996135,-87.71921246,95.1,45.0,22.1,,,,
James N Thorp Elementary School,ES,41.73331035,-87.54451462,91.8,32.0,45.4,,,,
James Otis Elementary School,ES,41.89179703,-87.66538928,95.5,83.0,3.2,,,,
James R Doolittle Jr Elementary School,ES,41.8310921,-87.61291629,91.4,30.0,134.8,,,,
James Russell Lowell Elementary School,ES,41.90654684,-87.71023279,93.2,39.0,11.2,,,,
James Shields Elementary School,ES,41.81593528,-87.68968453,97.0,38.0,13.9,,,,
James Wadsworth Elementary School,ES,41.77812652,-87.59815597,92.2,,8.0,,,,
James Ward Elementary School,ES,41.84395162,-87.63531815,97.8,49.0,1.3,,,,
James Weldon Johnson Elementary School,ES,41.86183983,-87.7031756,94.7,67.0,1.4,,,,
Jane Addams Elementary School,ES,41.69871497,-87.53301251,96.0,56.0,5.0,,,,
Jane A Neil Elementary School,ES,41.7384386,-87.62089767,88.9,42.0,5.0,,,,
Jean Baptiste Beaubien Elementary School,ES,41.97237914,-87.75752776,95.7,63.0,7.4,,,,
Jean D Lafayette Elementary School,ES,41.89940402,-87.69494543,94.1,44.0,14.3,,,,
Jensen Elementary Scholastic Academy,ES,41.87384239,-87.70224149,93.1,35.0,17.2,,,,
Jesse Owens Elementary Community Academy,ES,41.66737294,-87.62242272,91.3,,4.9,,,,
Jesse Sherwood Elementary School,ES,41.7907728,-87.6322812,92.0,38.0,3.9,,,,
Johann W von Goethe Elementary School,ES,41.9228282,-87.69293637,95.8,75.0,5.6,,,,
John A Walsh Elementary School,ES,41.85484214,-87.64804964,95.1,60.0,2.9,,,,
John Barry Elementary School,ES,41.93251118,-87.73942514,95.1,35.0,5.6,,,,
John B Drake Elementary School,ES,41.84379445,-87.61776768,93.8,59.0,43.3,,,,
John B Murphy Elementary School,ES,41.95005034,-87.71682949,95.6,80.0,1.9,,,,
John Calhoun North Elementary School,ES,41.87822115,-87.69755292,95.9,52.0,4.6,,,,
John C Burroughs Elementary School,ES,41.8288631,-87.69249318,95.6,50.0,0.2,,,,
