school,x,y,level,safety,attendance,misconduct,instr,teachers
610543,0.4186695098592142,-0.2740090584766484,HS,67.0,92.2,3.0,63.0,64.0
610137,3.012090990666346,-2.4631544533559984,ES,71.0,95.4,23.4,42.0,48.0
609908,-2.029721858015674,0.9259918374515035,ES,36.0,92.9,34.0,43.0,48.0
609918,-1.8386078751339883,-0.8841934090681719,ES,42.0,96.8,10.0,37.0,8.0
609874,1.2791761793251601,-2.7651641718043285,ES,44.0,95.9,2.7,1.0,48.0
610319,-0.4783605453409013,-0.713594418467175,MS,60.0,96.1,5.5,44.0,65.0
610057,-5.212643917977671,-0.2439247507037647,ES,31.0,93.4,43.4,34.0,25.0
610541,0.13720885164313085,2.3856174592460393,ES,53.0,96.8,43.8,58.0,82.0
610120,1.3329851048113668,-0.6779858510689124,ES,51.0,96.3,1.2,47.0,37.0
609917,-3.457843641400056,-0.7602101450552317,ES,29.0,93.4,29.0,43.0,50.0
610258,-5.871538261929426,1.3540134191505935,ES,20.0,90.0,156.6,46.0,48.0
610096,-1.2065208248730879,1.1491647706216601,ES,35.0,95.6,9.4,48.0,72.0
609924,1.1590862862422586,1.6691357691633395,ES,34.0,93.4,24.5,71.0,48.0
609927,-4.421785478168923,-1.1099209569395618,ES,11.0,93.7,33.6,22.0,46.0
610215,-1.7534279895695262,-2.0644721926291663,MS,49.0,95.1,7.1,47.0,34.0
610067,-3.0356057913491283,1.330258498719271,ES,23.0,93.5,9.1,54.0,61.0
610114,-4.619940152897297,-0.5761647822596896,ES,38.0,90.6,20.7,39.0,28.0
610020,-1.4104536076765497,1.8942509038871358,ES,37.0,91.9,39.6,64.0,48.0
610112,-2.2815143180307422,1.2743267320568872,ES,30.0,91.9,39.0,57.0,48.0
609800,0.20665630645167538,1.069844479851052,ES,46.0,92.5,6.5,66.0,56.0
609939,-1.8072449570535392,0.4609681647263114,ES,27.0,91.9,2.1,45.0,48.0
609926,5.84928364707335,-0.7904489530123612,ES,87.0,95.9,5.6,55.0,48.0
609958,0.2679947204899935,-1.3765278507669712,ES,46.0,96.6,87.3,45.0,14.0
610144,0.5730744095052743,0.053132164646960404,ES,48.0,97.0,8.7,34.0,48.0
610165,-0.8030076169203052,-1.5117377517724055,ES,48.0,95.8,2.1,47.0,26.0
610503,6.01706123274115,3.334360414028997,ES,60.0,96.8,7.2,72.0,55.0
609854,8.531004089786402,5.158071892740963,ES,86.0,96.9,1.7,99.0,99.0
610245,-1.0970750062395525,-2.4289449845076483,HS,44.0,79.2,28.0,37.0,48.0
609930,-3.641586543792344,-1.9479644789219293,ES,16.0,94.7,16.8,16.0,48.0
610163,1.4973827477776436,2.82439501711385,ES,48.0,72.4,0.0,47.0,81.0
610010,0.4347518130280851,0.32329898977120297,ES,72.0,94.7,19.9,59.0,48.0
609737,-0.5489317547265934,-2.8560678637112713,HS,70.0,87.0,4.0,51.0,29.0
609709,-1.940141987703893,-3.245203600180498,HS,14.0,72.5,19.5,37.0,35.0
610009,3.1641315416753075,-1.4260342629247178,ES,65.0,95.0,3.1,42.0,33.0
610072,-1.6990431418610683,0.3616241805653634,ES,28.0,92.0,10.0,55.0,36.0
610293,-1.6427733404918643,2.1743772272927804,ES,61.0,92.1,26.0,77.0,48.0
609779,2.8008655570525645,0.538581060445688,ES,59.0,96.3,8.1,64.0,45.0
610062,-0.09528697088916901,0.2505613600212838,ES,49.0,93.2,7.8,40.0,48.0
610196,1.9699235990159283,0.9400421382148757,ES,61.0,96.3,6.0,60.0,59.0
