school,x,y,level,safety,attendance,misconduct,instr,teachers,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,instr_dev,misconduct_dev
610076,-0.3760680342507623,0.17528066311071658,ES,50.0,93.0,45.5,32.0,31.0,13.57872054343449,Mid,Mid,Mid-Mid,80.4700099838722,32.0,0.6277056277056303,-17.164502164502167,22.985281385281386
610150,-5.9755520353560065,1.074540891105795,ES,39.0,88.9,64.1,50.0,48.0,12.148213867485842,Low,High,Low-High,72.74786882727902,50.0,-10.37229437229437,0.8354978354978329,41.58528138528138
610175,0.38220828224740355,0.3173889070866724,ES,45.0,94.7,0.3,39.0,41.0,7.3102919832288835,Mid,Mid,Mid-Mid,97.69986944167114,39.0,-4.37229437229437,-10.164502164502167,-22.214718614718613
610087,0.2322964327387435,1.9536294065185273,ES,48.0,80.2,0.8,47.0,66.0,0.5015689267724976,Mid,High,Mid-High,97.06627755164735,47.0,-1.3722943722943697,-2.164502164502167,-21.714718614718613
609969,2.265524921222668,1.0957271870940921,ES,63.0,94.2,17.9,76.0,48.0,10.818238236203658,High,High,High-High,91.61354734659396,76.0,13.62770562770563,26.835497835497833,-4.614718614718615
610106,-5.1392681803685925,0.5791295134783373,ES,27.0,90.6,65.8,31.0,48.0,15.522312824293769,Low,Mid,Low-Mid,71.69956224560326,31.0,-22.37229437229437,-18.164502164502167,43.28528138528138
610317,0.4123704518177056,0.6317891485535739,ES,55.0,96.3,2.6,43.0,48.0,4.188154190015065,Mid,Mid,Mid-Mid,97.26211504492743,43.0,5.62770562770563,-6.164502164502167,-19.914718614718613
610381,-1.2830818030521811,-3.1953093796664422,HS,41.0,92.3,16.2,43.0,15.0,5.5965331793155615,Low,Low,Low-Low,91.34859073803855,43.0,-8.483870967741936,-1.5483870967741922,0.6032258064516114
609821,4.633202181233173,3.374970194864903,ES,61.0,95.5,29.4,99.0,71.0,26.13661281014805,High,High,High-High,87.17072421473006,99.0,11.62770562770563,49.83549783549783,6.885281385281385
609827,0.17387823429421476,0.1408355873469446,ES,51.0,94.9,8.9,70.0,48.0,7.683237441954427,Mid,Mid,Mid-Mid,94.6355886644651,70.0,1.6277056277056303,20.835497835497833,-13.614718614718614
610353,0.5340177272972861,2.131431177637833,ES,58.0,96.5,1.9,72.0,55.0,9.205944242729668,Mid,High,Mid-High,97.6537900314876,72.0,8.62770562770563,22.835497835497833,-20.614718614718615
609729,-1.2337033102983417,-3.4806029579714033,HS,48.0,81.2,13.8,29.0,31.0,8.398069613529044,Mid,Low,Mid-Low,92.11274095691576,29.0,-1.483870967741936,-15.548387096774192,-1.7967741935483872
610039,2.3761524007606747,1.109770798547074,ES,68.0,95.8,1.8,75.0,44.0,7.459239837585358,High,High,High-High,98.04930496889641,75.0,18.62770562770563,25.835497835497833,-20.714718614718613
610238,-1.2649367648131926,1.3855255463168743,ES,54.0,91.7,18.8,63.0,32.0,8.313726054023848,Mid,High,Mid-High,90.82635742262498,63.0,4.62770562770563,13.835497835497833,-3.7147186147186133
609839,-2.2983059239291115,-1.078168613839382,ES,35.0,94.8,27.8,12.0,48.0,15.20026569784641,Low,Low,Low-Low,86.75984947392675,12.0,-14.37229437229437,-37.16450216450217,5.285281385281387
610345,-6.68029635200988,-2.1037174833095675,ES,26.0,91.9,70.5,1.0,41.0,33.74055253062519,Low,Low,Low-Low,69.90630519929346,1.0,-23.37229437229437,-48.16450216450217,47.98528138528138
610148,0.6291606811819179,1.851483922957245,ES,54.0,95.1,11.1,52.0,50.0,5.906475671171602,High,High,High-High,93.91367790492282,52.0,4.62770562770563,2.835497835497833,-11.414718614718614
609679,-0.48030400900270853,-2.358236943696915,HS,59.0,86.0,9.7,51.0,44.0,5.660084640716028,Mid,Low,Mid-Low,94.29383303893711,51.0,9.516129032258064,6.451612903225808,-5.896774193548389
610005,-0.004909719558081965,1.865726795015257,ES,42.0,94.4,0.0,72.0,48.0,10.123416246876081,Mid,High,Mid-High,97.68834958912527,72.0,-7.37229437229437,22.835497835497833,-22.514718614718614
609879,1.0484160587961011,0.1985957373230199,ES,44.0,95.7,35.6,30.0,54.0,10.486248836627073,High,Mid,High-Mid,84.14484294601029,30.0,-5.37229437229437,-19.164502164502167,13.085281385281387
609966,-0.9430865729441872,0.3953849696047534,ES,40.0,95.3,8.5,43.0,48.0,6.029605582863465,Mid,Mid,Mid-Mid,94.38215190845558,43.0,-9.37229437229437,-6.164502164502167,-14.014718614718614
610366,-0.2016389323374723,0.5417110968978925,ES,32.0,93.4,11.5,32.0,48.0,6.577915503263906,Mid,Mid,Mid-Mid,92.85001151985254,32.0,-17.37229437229437,-17.164502164502167,-11.014718614718614
610030,-4.547048629101557,-0.4918676218584945,ES,36.0,92.0,55.6,40.0,48.0,12.606508111398501,Low,Mid,Low-Mid,76.01566699946241,40.0,-13.37229437229437,-9.164502164502167,33.08528138528139
609996,0.2446518244630399,-0.12206729827157456,ES,53.0,94.9,4.7,35.0,51.0,4.987140777312489,Mid,Mid,Mid-Mid,96.32516703786193,35.0,3.6277056277056303,-14.164502164502167,-17.814718614718615
609833,-2.963752023833239,-0.3452412615286009,ES,25.0,92.7,30.7,44.0,25.0,7.882559125099714,Low,Mid,Low-Mid,85.18162967514016,44.0,-24.37229437229437,-5.164502164502167,8.185281385281385
609732,-1.7650061760839253,-3.3443063235100845,HS,26.0,79.2,30.4,34.0,32.0,6.705754290134309,Low,Low,Low-Low,84.81683434452039,34.0,-23.483870967741936,-10.548387096774192,14.80322580645161
609875,-0.9044743275922685,-0.12715182370367495,ES,58.0,95.6,33.8,34.0,46.0,12.945799568993369,Mid,Mid,Mid-Mid,85.36978726672298,34.0,8.62770562770563,-15.164502164502167,11.285281385281383
609986,-4.565943291751761,0.7192920669688908,ES,16.0,89.2,80.6,38.0,48.0,20.454839037993235,Low,Mid,Low-Mid,65.54028108440212,38.0,-33.37229437229437,-11.164502164502167,58.08528138528138
609813,-1.8817920581661725,0.383088676072176,ES,20.0,92.8,14.1,82.0,19.0,23.484958643575947,Low,Mid,Low-Mid,91.36779049228171,82.0,-29.37229437229437,32.83549783549783,-8.414718614718614
609883,-2.8295261467231456,1.3954563854577702,ES,55.0,93.8,39.5,51.0,49.0,10.144975913272072,Low,High,Low-High,82.99669764227019,51.0,5.62770562770563,1.8354978354978329,16.985281385281386
610194,-1.91918426373997,-0.7538135056889117,ES,41.0,93.9,12.3,48.0,34.0,6.824970998657891,Low,Low,Low-Low,92.90761078258198,48.0,-8.37229437229437,-1.1645021645021671,-10.214718614718613
609897,-0.9292560277597612,1.9839685725489766,ES,24.0,93.8,16.9,71.0,48.0,14.423607103183034,Mid,High,Mid-High,90.48460179709701,71.0,-25.37229437229437,21.835497835497833,-5.614718614718615
610248,4.101248472276374,-1.3350767442425602,ES,66.0,96.3,6.0,22.0,48.0,10.668139109895645,High,Low,High-Low,96.37892634974273,22.0,16.62770562770563,-27.164502164502167,-16.514718614718614
610340,0.005427767614148527,-1.2107716025184847,HS,58.0,93.1,6.3,53.0,57.0,5.682239208708937,Mid,Low,Mid-Low,95.83365332923739,53.0,8.516129032258064,8.451612903225808,-9.296774193548387
609753,0.5030135287469687,-0.7663053715477115,HS,87.0,92.8,5.2,47.0,40.0,9.665173770608,Mid,Low,Mid-Low,97.35811381614316,47.0,37.516129032258064,2.451612903225808,-10.396774193548389
609754,-1.2342032817301156,-2.0569353526803127,HS,32.0,90.3,28.2,35.0,48.0,6.673659133238324,Mid,Low,Mid-Low,86.31825512633439,35.0,-17.483870967741936,-9.548387096774192,12.603225806451611
