school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score,safety_dev,misconduct_dev,attendance_dev,instr_dev
Emil G Hirsch Metropolitan High School,HS,41.7537612,-87.60176452,84.8,13.0,47.1,,,,,,,,
Emiliano Zapata Elementary Academy,ES,41.84139181,-87.73434997,96.6,60.0,2.8,High-High,22.012526678003116,93.75401855423901,42.0,8.466063348416291,-16.481900452488688,2.004072398190033,-9.524886877828052
Emmett Louis Till Math and Science Academy,ES,41.77544062,-87.60932095,88.0,31.0,95.7,Low-High,100.0,4.9692293561127965,40.0,-20.53393665158371,76.41809954751132,-6.5959276018099615,-11.524886877828052
Enrico Fermi Elementary School,ES,41.76772772,-87.59039017,89.9,30.0,101.2,Low-High,85.9267305520151,0.0,63.0,-21.53393665158371,81.91809954751132,-4.695927601809956,11.475113122171948
Enrico Tonti Elementary School,ES,41.78750499,-87.70814201,95.8,,2.1,,,,,,,,
Eric Solorio Academy High School,HS,41.79518118,-87.71109447,92.2,67.0,3.0,,,,,,,,
Ernst Prussing Elementary School,ES,41.96561054,-87.77245066,95.4,71.0,23.4,,,,,,,,
Esmond Elementary School,ES,41.68939069,-87.66916143,92.9,36.0,34.0,,,,,,,,
Eugene Field Elementary School,ES,42.00966462,-87.66994862,96.8,42.0,10.0,Low-Low,37.71006513184967,85.50564893910169,37.0,-9.533936651583709,-9.281900452488689,2.2040723981900356,-14.524886877828052
Everett McKinley Dirksen Elementary School,ES,41.97368728,-87.84105162,95.9,44.0,2.7,,,,,,,,
Evergreen Academy Middle School,MS,41.829365,-87.66778007,96.1,60.0,5.5,Mid-Mid,15.85380062178359,91.22807017543859,44.0,10.0,-0.5142857142857142,1.0142857142857054,-1.142857142857146
Fairfield Elementary Academy,ES,41.78086789,-87.69207758,93.4,31.0,43.4,Low-Mid,25.2182728499955,53.50417929640856,34.0,-20.53393665158371,24.11809954751131,-1.1959276018099558,-17.524886877828052
Federico Garcia Lorca Elementary School,ES,41.94001885,-87.72474354,96.8,53.0,43.8,Mid-High,54.87847287782477,55.46982639845688,58.0,1.4660633484162915,24.51809954751131,2.2040723981900356,6.475113122171948
Ferdinand Peck Elementary School,ES,41.78792632,-87.71922211,96.3,51.0,1.2,Mid-Low,11.48977288175351,94.3694314319831,47.0,-0.5339366515837085,-18.08190045248869,1.7040723981900356,-4.524886877828052
Fernwood Elementary School,ES,41.71119799,-87.6403774,93.4,29.0,29.0,Low-Mid,20.82084258767066,66.54725819785064,43.0,-22.53393665158371,9.718099547511311,-1.1959276018099558,-8.524886877828052
Florence B Price Elementary School,ES,41.81534262,-87.6038735,90.0,20.0,156.6,,,,,,,,
Florence Nightingale Elementary School,ES,41.79774019,-87.68917624,95.6,35.0,9.4,Mid-High,20.64981761037305,85.30357306879765,48.0,-16.53393665158371,-9.881900452488688,1.0040723981900328,-3.5248868778280524
Fort Dearborn Elementary School,ES,41.72966698,-87.65544435,93.4,34.0,24.5,,,,,,,,
Foster Park Elementary School,ES,41.7384262,-87.66813597,93.7,11.0,33.6,Low-Mid,47.44042004874439,60.69624322586571,22.0,-40.53393665158371,14.318099547511313,-0.8959276018099587,-29.524886877828052
Francisco I Madero Middle School,MS,41.84098398,-87.70508585,95.1,49.0,7.1,Low-Low,10.154078594903622,88.65619546247818,47.0,-1.0,1.0857142857142854,0.014285714285705353,1.857142857142854
Francis M McKay Elementary School,ES,41.76810662,-87.69174944,93.5,23.0,9.1,Mid-High,31.425279396047074,84.28400845044548,54.0,-28.53393665158371,-10.181900452488689,-1.0959276018099615,2.4751131221719476
Francis Parkman Elementary School,ES,41.80169919,-87.63297392,90.6,38.0,20.7,Low-Low,36.751599425733104,74.74051621199595,39.0,-13.533936651583709,1.4180995475113107,-3.995927601809967,-12.524886877828052
Francis Scott Key Elementary School,ES,41.88983589,-87.76633519,91.9,37.0,39.6,,,,,,,,
Francis W Parker Elementary Community Academy,ES,41.77079606,-87.6353099,91.9,30.0,39.0,,,,,,,,
Frank I Bennett Elementary School,ES,41.71041656,-87.61735342,92.5,46.0,6.5,Mid-High,27.87349135986658,88.69293652980619,66.0,-5.5339366515837085,-12.781900452488689,-2.0959276018099615,14.475113122171948
Frank L Gillespie Elementary School,ES,41.72529635,-87.62368165,91.9,27.0,2.1,,,,,,,,
Franklin Elementary Fine Arts Center,ES,41.90657253,-87.6355136,95.9,87.0,5.6,,,,,,,,
Frank W Gunsaulus Elementary Scholastic Academy,ES,41.81299531,-87.69940042,96.6,46.0,87.3,Low-Low,91.33675484955803,14.85257646734638,45.0,-5.5339366515837085,68.01809954751131,2.004072398190033,-6.524886877828052
Frank W Reilly Elementary School,ES,41.94112155,-87.71953058,97.0,48.0,8.7,,,,,,,,
Franz Peter Schubert Elementary School,ES,41.93038593,-87.76115305,95.8,,2.1,,,,,,,,
Frazier Prospective IB Magnet Elementary School,ES,41.86695871,-87.72631742,96.8,60.0,7.2,High-Mid,13.853857322443353,89.73087168182236,72.0,8.466063348416291,-12.08190045248869,2.2040723981900356,20.475113122171948
Frederic Chopin Elementary School,ES,41.89674048,-87.68890154,96.9,86.0,1.7,High-High,69.79616706148364,97.18012308257555,99.0,34.46606334841629,-17.58190045248869,2.304072398190044,47.47511312217195
Frederick A Douglass Academy High School,HS,41.89037849,-87.76763207,79.2,44.0,28.0,,,,,,,,
Frederick Funston Elementary School,ES,41.91762127,-87.71692852,94.7,16.0,16.8,,,,,,,,
Frederick Stock Elementary School,ES,42.0168639,-87.81420664,72.4,,0.0,,,,,,,,
Friedrich Ludwig Jahn Elementary School,ES,41.93924404,-87.67577282,94.7,72.0,19.9,,,,,,,,
Friedrich W von Steuben Metropolitan Science High School,HS,41.9731926,-87.71334969,87.0,70.0,4.0,,,,,,,,
Gage Park High School,HS,41.79101352,-87.68899064,72.5,14.0,19.5,,,,,,,,
Galileo Math & Science Scholastic Academy Elementary School,ES,41.87124634,-87.65340205,95.0,65.0,3.1,Mid-Low,16.52504866235984,93.790759621567,42.0,13.466063348416291,-16.181900452488687,0.4040723981900385,-9.524886877828052
Garrett A Morgan Elementary School,ES,41.74124549,-87.64007166,92.0,28.0,10.0,Low-Mid,21.18047593223917,83.7788187746854,55.0,-23.53393665158371,-9.281900452488689,-2.5959276018099615,3.4751131221719476
Genevieve Melody Elementary School,ES,41.87474954,-87.73051772,92.1,61.0,26.0,,,,,,,,
